Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
Auto Ancillaries companies,PPAP Automotive,https://www.screener.in/company/PPAP/consolidated/,334.0,239.0,295.0,148.0,,209.0,0.63,,-2.02,,7.22,61.4,32.7,1.4,12.4,19.0,53.6,0.39,0.81,0.54,PPAP
Auto Ancillaries companies,Ucal,https://www.screener.in/company/UCAL/consolidated/,325.0,147.0,164.0,105.0,,175.0,1.36,,0.27,,-9.1,39.3,32.7,2.21,4.01,10.4,58.0,-0.67,0.9,0.43,UCAL
Auto Ancillaries companies,Pritika Auto,https://www.screener.in/company/PRITIKAUTO/consolidated/,297.0,32.4,39.6,13.1,24.4,19.0,0.0,,10.1,,14.7,147.0,32.7,9.15,36.8,18.3,55.2,0.43,0.82,0.64,PRITIKAUTO
Auto Ancillaries companies,Jay Ushin,https://www.screener.in/company/513252/,275.0,713.0,899.0,496.0,21.6,265.0,0.42,,13.9,,-3.99,43.7,32.7,0.39,3.47,20.7,41.3,11.0,0.79,0.93,513252
Auto Ancillaries companies,Kinetic Engg.,https://www.screener.in/company/500240/consolidated/,271.0,137.0,154.0,86.0,52.1,4.55,0.0,,,,,58.8,32.7,1.99,,11.6,53.7,0.84,0.88,8.42,500240
Auto Ancillaries companies,Sundaram Brake,https://www.screener.in/company/SUNDRMBRAK/,263.0,668.0,717.0,271.0,46.4,233.0,0.0,,-5.43,,5.84,147.0,32.7,0.39,11.2,6.79,58.5,7.27,0.93,0.4,SUNDRMBRAK
Auto Ancillaries companies,Rane Engine Val.,https://www.screener.in/company/RANEENGINE/,259.0,359.0,394.0,195.0,23.4,156.0,0.0,,-7.2,,21.5,83.9,32.7,0.72,11.9,8.95,57.6,2.05,0.91,1.07,RANEENGINE
Auto Ancillaries companies,Shigan Quantum,https://www.screener.in/company/SHIGAN/,220.0,128.0,158.0,67.0,314.0,36.0,0.0,,7.48,,-55.1,90.7,32.7,1.72,31.0,19.1,71.1,1.07,0.81,0.61,SHIGAN
Auto Ancillaries companies,IP Rings,https://www.screener.in/company/523638/,216.0,170.0,180.0,80.0,,84.0,0.59,,1.6,,1.49,113.0,32.7,1.27,17.8,5.53,55.7,-1.59,0.94,0.83,523638
Auto Ancillaries companies,Jullundur Motor,https://www.screener.in/company/JMA/,188.0,82.4,88.5,59.0,8.76,80.5,2.43,,13.3,,4.28,39.6,32.7,2.28,10.4,6.95,53.3,2.11,0.93,0.0,JMA
Auto Ancillaries companies,Bharat Gears,https://www.screener.in/company/BHARATGEAR/,178.0,116.0,156.0,96.0,189.0,76.8,0.0,,11.8,,-7.39,20.4,32.7,1.54,18.3,25.9,49.3,-1.13,0.74,0.9,BHARATGEAR
Auto Ancillaries companies,Akar Auto Indust,https://www.screener.in/company/530621/,161.0,150.0,156.0,61.8,23.1,39.1,0.33,,19.1,,18.1,142.0,32.7,1.08,22.8,4.38,71.8,1.35,0.96,1.45,530621
Auto Ancillaries companies,Triton Valves,https://www.screener.in/company/505978/consolidated/,153.0,1475.0,1950.0,1147.0,,699.0,0.0,,-11.6,,12.9,28.6,32.7,0.1,19.2,24.4,39.6,5.96,0.76,1.69,505978
Auto Ancillaries companies,Samkrg Pistons,https://www.screener.in/company/520075/,148.0,151.0,170.0,112.0,17.1,186.0,1.66,,8.28,,-4.27,34.0,32.7,0.98,0.43,11.2,60.9,1.33,0.89,0.2,520075
Auto Ancillaries companies,Him Teknoforg.,https://www.screener.in/company/505712/,143.0,182.0,212.0,73.0,17.3,223.0,0.22,,6.98,,0.59,149.0,32.7,0.79,22.1,14.1,61.5,1.84,0.86,0.85,505712
Auto Ancillaries companies,SAL Automotive,https://www.screener.in/company/539353/,141.0,590.0,662.0,224.0,20.7,155.0,0.68,,14.4,,61.3,164.0,32.7,0.24,52.6,10.9,62.4,6.21,0.89,0.99,539353
Auto Ancillaries companies,Omax Autos,https://www.screener.in/company/OMAXAUTO/,139.0,64.8,71.5,37.6,,131.0,0.0,,-7.76,,18.5,72.2,32.7,2.14,-13.6,9.3,53.7,-1.64,0.91,0.38,OMAXAUTO
Auto Ancillaries companies,Kranti Industrie,https://www.screener.in/company/542459/consolidated/,95.4,83.6,113.0,60.2,26.6,31.7,0.0,,8.31,,-6.86,38.8,32.7,1.14,23.9,25.9,35.5,0.53,0.74,1.11,542459
Auto Ancillaries companies,Setco Automotive,https://www.screener.in/company/SETCO/consolidated/,93.6,7.0,12.0,4.7,,-38.0,0.0,,,,2.41,48.9,32.7,13.4,5.37,41.4,42.1,-2.54,0.59,,SETCO
Auto Ancillaries companies,Hindustan Hardy,https://www.screener.in/company/505893/,79.1,528.0,621.0,225.0,14.2,139.0,0.42,,22.6,,14.2,134.0,32.7,0.15,17.3,15.1,45.0,5.54,0.85,0.15,505893
Auto Ancillaries companies,Auto Pins (I),https://www.screener.in/company/531994/,76.5,134.0,137.0,45.0,58.4,13.8,0.0,,12.5,,40.4,198.0,32.7,0.57,18.7,1.94,94.6,0.58,0.98,0.53,531994
Auto Ancillaries companies,Rasandik Engg.,https://www.screener.in/company/522207/,72.4,121.0,156.0,53.0,,157.0,0.0,,-7.67,,-50.3,128.0,32.7,0.6,-10.2,22.3,51.9,4.57,0.78,0.64,522207
Auto Ancillaries companies,SM Auto Stamping,https://www.screener.in/company/543065/consolidated/,70.5,49.4,57.0,0.0,25.6,14.8,2.53,,14.6,,26.4,,32.7,1.43,15.8,13.4,55.7,1.05,0.87,0.18,543065
Auto Ancillaries companies,Containe Tech.,https://www.screener.in/company/543606/,68.1,109.0,131.0,59.8,64.2,14.7,0.0,,5.31,,210.0,82.3,32.7,0.62,17.4,17.0,53.3,1.17,0.83,0.54,543606
Auto Ancillaries companies,Ultra Wiring,https://www.screener.in/company/UWCSL/,66.1,127.0,141.0,67.0,29.9,35.9,0.0,,13.7,,50.5,89.4,32.7,0.52,33.9,10.1,59.1,2.73,0.9,0.33,UWCSL
Auto Ancillaries companies,Sizemasters Tech,https://www.screener.in/company/513496/consolidated/,62.8,62.8,62.8,25.0,523.0,10.8,0.0,,,,,152.0,32.7,1.0,,0.0,100.0,0.8,1.0,0.68,513496
Auto Ancillaries companies,Precision Metal.,https://www.screener.in/company/PRECISION/,57.4,35.3,53.5,26.0,9.21,30.7,0.0,,16.0,,16.5,35.8,32.7,1.63,104.0,34.0,38.5,1.24,0.66,0.09,PRECISION
Auto Ancillaries companies,Jagan Lamps,https://www.screener.in/company/530711/,55.8,76.4,95.5,38.0,18.5,39.1,0.0,,10.1,,11.2,101.0,32.7,0.73,26.4,20.0,41.6,0.93,0.8,0.07,530711
Auto Ancillaries companies,ASL Industries,https://www.screener.in/company/ASLIND/,43.4,41.7,42.3,16.6,29.6,33.8,0.0,,4.81,,-100.0,150.0,32.7,1.04,,1.42,62.9,0.46,0.99,0.0,ASLIND
Auto Ancillaries companies,G S Auto Intl.,https://www.screener.in/company/513059/,36.6,25.2,27.2,13.4,,14.8,0.0,,-12.4,,20.6,88.4,32.7,1.45,16.1,7.17,63.6,0.1,0.93,1.7,513059
Auto Ancillaries companies,Jainex Aamcol,https://www.screener.in/company/505212/,23.4,156.0,191.0,84.0,36.6,44.5,0.0,,21.1,,0.85,85.8,32.7,0.15,14.0,18.2,44.2,2.27,0.82,0.65,505212
Auto Ancillaries companies,Sibar Auto Parts,https://www.screener.in/company/520141/,17.4,10.5,15.2,6.52,,6.49,0.0,,-6.41,,-17.7,61.2,32.7,1.65,8.68,30.6,55.4,0.01,0.69,0.23,520141
Auto Ancillaries companies,PAE,https://www.screener.in/company/517230/,5.78,5.55,7.69,4.61,,-26.9,0.0,,,,,20.4,32.7,1.04,,27.8,53.0,-0.33,0.72,,517230
Auto Ancillaries companies,Spectra Industri,https://www.screener.in/company/513687/,3.54,5.0,8.23,3.81,,-75.6,0.0,,,,,31.2,32.7,0.71,,39.2,54.7,-1.78,0.61,,513687
Auto Ancillaries companies,India Radiators,https://www.screener.in/company/505100/,0.46,5.14,5.14,3.67,,8.33,0.0,,,,20.0,40.0,32.7,0.09,81.7,0.0,100.0,-1.67,1.0,0.0,505100
Automobile companies,Maruti Suzuki,https://www.screener.in/company/MARUTI/consolidated/,323909.0,10302.0,10933.0,8127.0,28.5,2178.0,0.87,,11.5,,22.6,26.8,28.5,31.4,15.8,5.77,46.6,125.0,0.94,0.01,MARUTI
Automobile companies,Tata Motors,https://www.screener.in/company/TATAMOTORS/consolidated/,285543.0,780.0,803.0,381.0,17.8,161.0,0.26,,5.62,,33.0,105.0,25.1,332.0,9.84,2.86,75.3,11.3,0.97,2.38,TATAMOTORS
Automobile companies,M & M,https://www.screener.in/company/M&M/consolidated/,215056.0,1729.0,1758.0,1123.0,19.9,486.0,0.94,,18.1,,21.9,53.9,28.5,124.0,17.2,1.63,63.6,18.9,0.98,1.65,M&M
Automobile companies,Bajaj Auto,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,192484.0,6797.0,6834.0,3520.0,28.1,1037.0,2.06,,20.2,,11.9,93.1,173.0,28.3,6.81,0.54,77.1,71.4,0.99,0.0,BAJAJ-AUTO
Automobile companies,Eicher Motors,https://www.screener.in/company/EICHERMOT/consolidated/,113439.0,4144.0,4202.0,2836.0,31.7,582.0,0.89,,21.1,,20.3,46.1,48.9,27.4,16.4,1.39,62.7,37.1,0.99,0.03,EICHERMOT
Automobile companies,TVS Motor Co.,https://www.screener.in/company/TVSMOTOR/consolidated/,96246.0,2026.0,2058.0,968.0,66.0,133.0,0.25,,25.6,,20.7,109.0,48.9,47.5,19.3,1.59,70.1,8.13,0.98,2.03,TVSMOTOR
Automobile companies,Hero Motocorp,https://www.screener.in/company/HEROMOTOCO/consolidated/,82744.0,4140.0,4195.0,2246.0,24.7,884.0,2.42,,16.7,,5.5,84.3,48.9,20.0,5.3,1.32,76.7,50.4,0.99,0.04,HEROMOTOCO
Automobile companies,Ashok Leyland,https://www.screener.in/company/ASHOKLEY/consolidated/,53305.0,182.0,192.0,133.0,25.1,30.2,1.43,,15.0,,29.0,36.4,25.1,294.0,24.4,5.2,62.3,1.79,0.95,3.87,ASHOKLEY
Automobile companies,Escorts Kubota,https://www.screener.in/company/ESCORTS/consolidated/,32963.0,2983.0,3440.0,1808.0,36.2,783.0,0.23,,8.56,,14.2,65.0,30.8,11.0,13.2,13.3,35.7,20.2,0.87,0.01,ESCORTS
Automobile companies,Tata Motors-DVR,https://www.screener.in/company/TATAMTRDVR/consolidated/,26407.0,519.0,537.0,202.0,,1086.0,0.4,,-3.68,,-4.32,157.0,25.1,50.8,,3.35,72.8,57.2,0.97,2.19,TATAMTRDVR
Automobile companies,Olectra Greentec,https://www.screener.in/company/OLECTRA/consolidated/,11055.0,1347.0,1465.0,374.0,143.0,106.0,0.03,,8.11,,23.2,260.0,25.1,8.21,75.9,8.07,67.6,2.2,0.92,0.15,OLECTRA
Automobile companies,Force Motors,https://www.screener.in/company/FORCEMOT/consolidated/,4772.0,3621.0,4468.0,1085.0,25.7,1537.0,0.28,,1.76,,56.2,234.0,25.1,1.32,17.8,19.0,40.7,71.2,0.81,0.36,FORCEMOT
Automobile companies,VST Till. Tract.,https://www.screener.in/company/VSTTILLERS/,3264.0,3778.0,4196.0,2097.0,25.3,1009.0,0.66,,11.7,,18.3,80.2,30.8,0.86,22.8,9.95,41.1,42.2,0.9,0.0,VSTTILLERS
Automobile companies,Mercury EV-Tech,https://www.screener.in/company/531357/,1984.0,119.0,144.0,10.5,862.0,3.06,0.0,,3.45,,288.0,1032.0,28.5,16.7,,17.3,59.0,0.04,0.83,0.64,531357
Automobile companies,SML ISUZU,https://www.screener.in/company/SMLISUZU/,1913.0,1322.0,1578.0,658.0,24.0,159.0,0.0,,11.7,,35.8,101.0,25.1,1.45,16.4,16.2,41.1,14.6,0.84,1.11,SMLISUZU
Automobile companies,Atul Auto,https://www.screener.in/company/ATULAUTO/consolidated/,1588.0,572.0,693.0,273.0,318.0,145.0,0.0,,0.94,,16.1,110.0,173.0,2.78,-6.38,17.4,36.6,2.74,0.83,0.34,ATULAUTO
Automobile companies,Wardwizard Inno.,https://www.screener.in/company/538970/,1446.0,55.5,68.7,33.2,160.0,3.54,0.18,,12.3,,-21.2,67.1,48.9,26.1,1340.0,19.2,54.9,0.09,0.81,0.53,538970
Automobile companies,Scooters India,https://www.screener.in/company/505141/,534.0,61.2,76.5,26.0,,-0.93,0.0,,-63.6,,,135.0,173.0,8.73,,20.0,56.3,-0.13,0.8,,505141
Automobile companies,Hindustan Motors,https://www.screener.in/company/HINDMOTORS/,353.0,16.9,19.4,12.3,,-0.53,0.0,,,,,37.4,28.5,20.9,,12.8,51.2,-0.04,0.87,,HINDMOTORS
Banks companies,HDFC Bank,https://www.screener.in/company/HDFCBANK/consolidated/,1297668.0,1709.0,1758.0,1460.0,19.2,519.0,1.11,,17.1,,47.4,17.0,13.2,759.0,11.8,2.76,77.6,22.2,0.97,7.39,HDFCBANK
Banks companies,ICICI Bank,https://www.screener.in/company/ICICIBANK/consolidated/,699063.0,997.0,1044.0,796.0,17.4,307.0,0.8,,17.2,,36.2,25.2,13.2,701.0,12.6,4.51,53.2,15.6,0.95,6.53,ICICIBANK
Banks companies,St Bk of India,https://www.screener.in/company/SBIN/consolidated/,573005.0,642.0,660.0,499.0,8.4,402.0,1.76,,16.8,,28.8,28.6,9.35,892.0,9.14,2.78,63.2,18.0,0.97,13.9,SBIN
Banks companies,Kotak Mah. Bank,https://www.screener.in/company/KOTAKBANK/consolidated/,379241.0,1908.0,2064.0,1644.0,22.1,563.0,0.08,,14.3,,35.4,16.1,13.2,199.0,7.99,7.57,70.7,22.4,0.92,3.75,KOTAKBANK
Banks companies,Axis Bank,https://www.screener.in/company/AXISBANK/consolidated/,339951.0,1102.0,1152.0,814.0,14.5,422.0,0.09,,14.5,,33.4,35.4,13.2,308.0,11.1,4.3,55.4,20.1,0.96,8.88,AXISBANK
Banks companies,IndusInd Bank,https://www.screener.in/company/INDUSINDBK/,124355.0,1599.0,1619.0,990.0,15.0,704.0,0.88,,14.4,,27.6,61.5,13.2,77.8,8.11,1.23,66.3,28.1,0.99,7.06,INDUSINDBK
Banks companies,Bank of Baroda,https://www.screener.in/company/BANKBARODA/consolidated/,119510.0,231.0,236.0,146.0,6.49,203.0,2.38,,15.1,,36.0,57.8,9.35,517.0,6.07,2.06,70.0,8.5,0.98,12.8,BANKBARODA
Banks companies,Punjab Natl.Bank,https://www.screener.in/company/PNB/consolidated/,105430.0,95.8,97.7,44.4,17.9,93.4,0.68,,3.34,,27.1,116.0,9.35,1101.0,16.5,2.0,72.9,1.81,0.98,13.2,PNB
Banks companies,Union Bank (I),https://www.screener.in/company/UNIONBANK/consolidated/,88282.0,119.0,129.0,60.3,7.41,115.0,2.52,,11.4,,26.8,97.4,9.35,741.0,29.4,7.96,55.6,4.82,0.92,14.8,UNIONBANK
Banks companies,I O B,https://www.screener.in/company/IOB/,81847.0,43.3,51.1,20.8,35.1,13.4,0.0,,8.69,,22.4,108.0,9.35,1890.0,3.68,15.3,53.5,0.33,0.85,11.2,IOB
Banks companies,Canara Bank,https://www.screener.in/company/CANBK/consolidated/,79368.0,438.0,455.0,269.0,5.71,430.0,2.74,,14.8,,32.4,62.8,9.35,181.0,20.0,3.78,58.1,20.9,0.96,15.8,CANBK
Banks companies,IDBI Bank,https://www.screener.in/company/IDBI/consolidated/,72471.0,67.4,74.8,42.9,15.2,43.1,1.48,,8.34,,26.4,57.2,13.2,1075.0,-0.42,9.83,56.8,1.29,0.9,5.79,IDBI
Banks companies,IDFC First Bank,https://www.screener.in/company/IDFCFIRSTB/consolidated/,62824.0,88.9,101.0,52.1,21.6,39.1,0.0,,10.6,,37.1,70.6,13.2,707.0,11.8,11.8,55.1,1.11,0.88,7.8,IDFCFIRSTB
Banks companies,Yes Bank,https://www.screener.in/company/YESBANK/consolidated/,61694.0,21.4,23.0,14.1,73.7,13.8,0.0,,1.99,,23.5,52.1,13.2,2876.0,-4.48,6.94,59.1,0.08,0.93,7.42,YESBANK
Banks companies,Indian Bank,https://www.screener.in/company/INDIANB/consolidated/,56694.0,421.0,463.0,252.0,8.23,398.0,2.04,,11.8,,25.2,66.9,9.35,135.0,28.1,9.09,48.4,16.6,0.91,13.0,INDIANB
Banks companies,AU Small Finance,https://www.screener.in/company/AUBANK/,52659.0,787.0,799.0,548.0,32.8,165.0,0.13,,15.4,,34.5,43.7,13.2,66.9,24.2,1.43,66.1,6.01,0.99,6.89,AUBANK
Banks companies,Bank of India,https://www.screener.in/company/BANKINDIA/consolidated/,51263.0,113.0,121.0,66.0,9.52,147.0,1.78,,6.33,,36.5,70.5,9.35,455.0,4.02,6.9,54.8,3.65,0.93,12.2,BANKINDIA
Banks companies,UCO Bank,https://www.screener.in/company/UCOBANK/,47525.0,39.8,48.5,22.2,25.6,21.6,0.0,,7.55,,27.5,78.6,9.35,1196.0,5.26,18.0,51.5,0.34,0.82,10.5,UCOBANK
Banks companies,Central Bank,https://www.screener.in/company/CENTRALBK/consolidated/,43492.0,50.1,56.0,22.2,19.9,33.7,0.0,,5.92,,20.8,125.0,9.35,868.0,2.72,10.5,59.4,0.72,0.89,12.6,CENTRALBK
Banks companies,Bandhan Bank,https://www.screener.in/company/BANDHANBNK/,38887.0,241.0,272.0,182.0,15.3,122.0,0.62,,11.9,,13.1,32.5,13.2,161.0,13.5,11.2,57.7,4.48,0.89,6.78,BANDHANBNK
Banks companies,Federal Bank,https://www.screener.in/company/FEDERALBNK/consolidated/,37997.0,156.0,159.0,121.0,10.4,105.0,0.64,,15.3,,35.5,29.2,13.2,243.0,9.44,1.98,60.2,4.23,0.98,10.8,FEDERALBNK
Banks companies,Bank of Maha,https://www.screener.in/company/MAHABANK/consolidated/,31972.0,45.2,51.9,22.8,9.35,23.5,2.88,,17.4,,32.2,98.0,9.35,708.0,11.4,13.0,47.2,1.3,0.87,15.5,MAHABANK
Banks companies,Pun. & Sind Bank,https://www.screener.in/company/PSB/,29246.0,43.2,53.6,23.1,25.0,22.3,1.11,,9.01,,20.0,87.1,9.35,678.0,0.26,19.5,49.7,0.28,0.8,7.86,PSB
Banks companies,RBL Bank,https://www.screener.in/company/RBLBANK/,16831.0,279.0,294.0,132.0,15.8,226.0,0.54,,6.74,,25.5,112.0,13.2,60.3,2.35,4.9,59.8,4.89,0.95,7.23,RBLBANK
Banks companies,Karur Vysya Bank,https://www.screener.in/company/KARURVYSYA/,13557.0,169.0,172.0,92.7,9.94,107.0,1.18,,13.7,,25.2,82.2,13.2,80.3,2.85,1.92,62.9,4.72,0.98,9.09,KARURVYSYA
Banks companies,J & K Bank,https://www.screener.in/company/J&KBANK/consolidated/,13545.0,123.0,140.0,44.6,9.06,95.9,0.41,,13.1,,23.0,176.0,13.2,110.0,3.47,12.1,53.4,3.72,0.88,12.6,J&KBANK
Banks companies,Equitas Sma. Fin,https://www.screener.in/company/EQUITASBNK/,11937.0,106.0,114.0,52.2,15.9,46.4,0.95,,12.2,,29.2,102.0,13.2,113.0,16.3,7.33,58.6,1.77,0.93,5.5,EQUITASBNK
Banks companies,Ujjivan Small,https://www.screener.in/company/UJJIVANSFB/,11133.0,56.9,63.0,22.8,8.87,20.5,2.2,,33.3,,44.4,150.0,13.2,196.0,15.5,9.68,47.7,1.68,0.9,7.08,UJJIVANSFB
Banks companies,City Union Bank,https://www.screener.in/company/CUB/,11036.0,149.0,182.0,120.0,11.7,101.0,0.67,,13.4,,14.6,24.7,13.2,74.1,4.19,18.3,46.3,3.79,0.82,7.66,CUB
Banks companies,Karnataka Bank,https://www.screener.in/company/KTKBANK/,8116.0,234.0,258.0,124.0,5.99,263.0,2.14,,15.4,,19.3,88.6,13.2,34.7,3.7,9.21,54.5,10.6,0.91,10.8,KTKBANK
Banks companies,T N Merc. Bank,https://www.screener.in/company/TMB/,7988.0,504.0,611.0,396.0,7.48,438.0,0.99,,16.8,,12.7,27.4,13.2,15.8,5.59,17.5,41.0,17.3,0.83,6.97,TMB
Banks companies,CSB Bank,https://www.screener.in/company/CSBBANK/,7263.0,419.0,422.0,218.0,12.6,185.0,0.0,,18.7,,21.6,92.0,13.2,17.4,15.4,0.85,70.9,7.68,0.99,7.89,CSBBANK
Banks companies,Utkarsh Small F.,https://www.screener.in/company/UTKARSHBNK/,5913.0,53.8,61.6,37.2,13.2,,0.0,,22.6,,35.5,44.8,13.2,110.0,24.2,12.6,61.0,1.04,0.87,8.03,UTKARSHBNK
Banks companies,South Ind.Bank,https://www.screener.in/company/SOUTHBANK/,5588.0,26.7,28.5,13.8,6.11,31.9,1.12,,12.4,,20.4,94.2,13.2,209.0,-2.33,6.32,55.5,1.31,0.94,14.8,SOUTHBANK
Banks companies,DCB Bank,https://www.screener.in/company/DCBBANK/,4146.0,133.0,137.0,96.6,8.13,147.0,0.94,,10.8,,27.9,37.6,13.2,31.2,5.9,3.28,68.2,4.06,0.97,9.93,DCBBANK
Banks companies,ESAF Small Fin,https://www.screener.in/company/ESAFSFB/,3537.0,68.7,75.4,66.0,11.7,,0.0,,19.4,,47.1,4.01,13.2,51.5,26.4,8.89,48.3,3.12,0.91,10.5,ESAFSFB
Banks companies,Fino Payments,https://www.screener.in/company/FINOPB/,2171.0,261.0,380.0,191.0,27.4,66.4,0.0,,12.6,,98.0,36.5,13.2,8.32,73.6,31.2,42.0,2.35,0.69,2.45,FINOPB
Banks companies,Suryoday Small,https://www.screener.in/company/SURYODAY/,1663.0,157.0,195.0,90.4,10.7,149.0,0.0,,5.03,,28.5,73.2,13.2,10.6,15.6,19.5,45.7,4.74,0.8,5.01,SURYODAY
Banks companies,Dhanlaxmi Bank,https://www.screener.in/company/DHANBANK/,775.0,30.6,34.1,13.5,6.96,38.0,0.0,,5.22,,15.4,127.0,13.2,25.3,2.75,10.1,55.8,0.92,0.9,14.4,DHANBANK
Bearings companies,Schaeffler India,https://www.screener.in/company/SCHAEFFLER/,50064.0,3203.0,3726.0,2555.0,54.3,279.0,0.75,,21.9,,8.64,25.4,26.4,15.6,16.4,14.0,71.4,15.0,0.86,0.01,SCHAEFFLER
Bearings companies,Timken India,https://www.screener.in/company/TIMKEN/,24461.0,3252.0,3576.0,2659.0,68.3,294.0,0.05,,21.1,,9.31,22.3,26.4,7.52,20.2,9.06,71.4,12.4,0.91,0.01,TIMKEN
Bearings companies,SKF India,https://www.screener.in/company/SKFINDIA/,22742.0,4600.0,5535.0,3960.0,47.0,483.0,0.87,,24.8,,7.43,16.2,26.4,4.94,14.8,16.9,46.6,18.2,0.83,0.01,SKFINDIA
Bearings companies,NRB Bearings,https://www.screener.in/company/NRBBEARING/consolidated/,3255.0,336.0,343.0,125.0,29.8,69.2,1.52,,16.1,,13.9,169.0,26.4,9.69,10.9,2.01,75.2,2.48,0.98,0.46,NRBBEARING
Bearings companies,Menon Bearings,https://www.screener.in/company/MENONBE/,769.0,137.0,166.0,90.5,25.2,24.0,1.64,,26.6,,-2.75,51.7,26.4,5.6,16.4,17.5,50.4,1.12,0.83,0.18,MENONBE
Bearings companies,Galaxy Bearings,https://www.screener.in/company/526073/,473.0,1486.0,1750.0,869.0,26.1,258.0,0.0,,23.9,,19.4,71.1,26.4,0.32,35.0,15.0,56.5,13.2,0.85,0.09,526073
Bearings companies,SKP Bearing,https://www.screener.in/company/SKP/,350.0,211.0,246.0,136.0,26.4,28.4,0.0,,44.3,,405.0,54.6,26.4,1.66,,14.2,50.5,4.62,0.86,0.11,SKP
Bearings companies,Bimetal Bearings,https://www.screener.in/company/505681/,231.0,604.0,730.0,368.0,23.0,537.0,2.07,,4.97,,3.43,64.2,26.4,0.38,15.4,17.2,52.9,6.61,0.83,0.04,505681
Bearings companies,Vishal Bearings,https://www.screener.in/company/539398/,200.0,185.0,242.0,70.0,22.5,32.7,0.0,,27.2,,6.01,164.0,26.4,1.08,30.5,23.4,51.4,0.3,0.77,0.95,539398
Bearings companies,SNL Bearings,https://www.screener.in/company/505827/,145.0,401.0,420.0,240.0,19.7,154.0,1.62,,16.0,,2.86,67.2,26.4,0.36,11.9,4.5,79.8,5.95,0.95,0.0,505827
Bearings companies,NRB Indl Bearing,https://www.screener.in/company/NIBL/consolidated/,106.0,43.6,51.0,15.0,,-10.6,0.0,,,,7.77,189.0,26.4,2.42,24.6,14.6,57.3,-2.48,0.85,,NIBL
Bearings companies,Austin Engg Co,https://www.screener.in/company/522005/consolidated/,67.1,193.0,216.0,111.0,16.2,169.0,0.0,,7.81,,-3.84,73.6,26.4,0.35,15.2,10.8,64.1,2.65,0.89,0.0,522005
Bearings companies,Benara Bearings,https://www.screener.in/company/541178/,25.3,14.3,19.4,10.0,,11.7,0.0,,-31.7,,-23.9,43.1,26.4,1.77,-43.6,26.2,49.7,-0.89,0.74,2.93,541178
Cables companies,Polycab India,https://www.screener.in/company/POLYCAB/consolidated/,82364.0,5485.0,5733.0,2546.0,51.2,480.0,0.36,,20.0,,20.4,115.0,39.4,15.0,16.9,4.33,52.9,28.4,0.96,0.03,POLYCAB
Cables companies,KEI Industries,https://www.screener.in/company/KEI/,29324.0,3249.0,3308.0,1411.0,55.5,317.0,0.09,,20.2,,14.4,130.0,39.4,9.02,12.3,1.77,70.3,15.5,0.98,0.07,KEI
Cables companies,R R Kabel,https://www.screener.in/company/RRKABEL/,17728.0,1571.0,1822.0,1137.0,95.2,152.0,0.19,,20.3,,27.7,38.2,39.4,11.3,31.3,13.8,40.7,6.55,0.86,0.26,RRKABEL
Cables companies,Finolex Cables,https://www.screener.in/company/FINCABLES/,16352.0,1069.0,1219.0,525.0,28.8,256.0,0.65,,14.4,,11.7,104.0,39.4,15.3,15.9,12.3,56.6,10.8,0.88,0.0,FINCABLES
Cables companies,Sterlite Tech.,https://www.screener.in/company/STLTECH/consolidated/,5698.0,143.0,193.0,128.0,25.6,53.5,0.7,,6.32,,13.7,11.1,23.9,39.9,10.3,26.0,42.1,0.85,0.74,1.73,STLTECH
Cables companies,Paramount Comm.,https://www.screener.in/company/PARACABLES/consolidated/,2159.0,88.2,96.4,27.9,34.8,16.7,0.0,,21.2,,22.2,216.0,39.4,24.5,9.4,8.61,67.2,0.82,0.91,0.38,PARACABLES
Cables companies,Universal Cables,https://www.screener.in/company/UNIVCABLES/consolidated/,1796.0,518.0,555.0,287.0,17.8,481.0,0.58,,8.46,,1.67,80.5,39.4,3.47,12.0,6.74,55.8,3.36,0.93,0.46,UNIVCABLES
Cables companies,Dynamic Cables,https://www.screener.in/company/DYCL/,954.0,433.0,617.0,155.0,28.8,87.5,0.12,,19.0,,3.85,180.0,39.4,2.2,16.0,29.8,52.2,2.31,0.7,0.59,DYCL
Cables companies,Birla Cable,https://www.screener.in/company/BIRLACABLE/,857.0,286.0,433.0,119.0,22.2,82.8,0.88,,16.1,,21.7,140.0,23.9,3.0,52.6,34.0,51.5,1.77,0.66,0.62,BIRLACABLE
Cables companies,Diamond Power,https://www.screener.in/company/DIACABS/,844.0,160.0,160.0,22.1,,-184.0,0.0,,,,,624.0,39.4,5.27,,0.0,100.0,0.45,1.0,,DIACABS
Cables companies,Plaza Wires,https://www.screener.in/company/PLAZACABLE/,439.0,100.0,174.0,75.0,58.4,,0.0,,15.2,,3.24,33.7,39.4,4.38,4.67,42.3,43.7,0.51,0.58,0.84,PLAZACABLE
Cables companies,V-Marc India,https://www.screener.in/company/VMARCIND/,398.0,175.0,220.0,36.9,29.4,37.4,0.0,,14.0,,28.1,373.0,39.4,2.28,13.0,20.5,50.6,2.41,0.79,1.6,VMARCIND
